itemString; itemName; Quantity purchased; Average cost per unit; Total cost; Quantity sold; Average income per unit; Total income; Profit per unit; Total profit
i:11176; Traumstaub; 81; 0,5066; 41,0328; 43; 0,5536; 23,8051; 0,0470; 2,0223
i:11098; Formel: Umhang - Geringer Schattenwiderstand; 1; 19,9999; 19,9999; 1; 24,4716; 24,4716; 4,4717; 4,4717
i:52766; Armschiene - Präzision; 1; 1,7515; 1,7515; 1; 0,7121; 0,7121; -1,0394; -1,0394
i:75041; Grüner Luftballon; 1; 0,09; 0,09; 1; 0,025; 0,025; -0,065; -0,065
i:53062; Scharfzahn; 40; 0,3408; 13,6302; 40; 0,3321; 13,2840; -0,0087; -0,3462
i:52756; Handschuhe - Außergewöhnliche Stärke; 1; 15,5544; 15,5544; 1; 14,7766; 14,7766; -0,7778; -0,7778
i:33567; Boreanische Lederfetzen; 5; 1,1347; 5,6735; 5; 1,0779; 5,3895; -0,0568; -0,2840
i:52746; Armschiene - Geschwindigkeit; 1; 13,9895; 13,9895; 1; 36,5746; 36,5746; 22,5851; 22,5851
i:62009; Sechs der Winde; 1; 101,9999; 101,9999; 1; 142,4992; 142,4992; 40,4993; 40,4993
i:40073; Elixier der mächtigen Stärke; 2; 0,9995; 1,9990; 2; 0,475; 0,950; -0,5245; -1,0490
i:52219; Frakturierter Heliodor; 3; 8,988; 26,964; 1; 11,0508; 11,0508; 2,0628; 2,0628
i:37921; Brennnessel; 157; 0,2383; 37,4095; 20; 0,1887; 3,7740; -0,0496; -0,9915
i:53072; Tiefseeweisenfisch; 6; 1,7573; 10,5439; 13; 3,6047; 46,8605; 1,8473; 11,0840
i:63128; Trolltafel; 5; 44,9992; 224,9960; 5; 73,1495; 365,7475; 28,1503; 140,7515
i:61978; Schwarzfahltinte; 4; 6,9986; 27,9944; 4; 11,3986; 45,5944; 4,4000; 17,6000
i:3857; Kohle; 2; 0,2059; 0,4118; 2; 0,1303; 0,2606; -0,0756; -0,1512
i:41536; Glyphe 'Blitzschlag'; 3; 1,3524; 4,0572; 3; 0,9474; 2,8422; -0,4050; -1,2150
i:11083; Seelenstaub; 289; 0,6729; 194,4734; 100; 1,8946; 189,4600; 1,2217; 122,1682
i:16819; Unterarmschienen der Prophezeiung; 1; 15,9995; 15,9995; 1; 8,5499; 8,5499; -7,4496; -7,4496
i:22794; Teufelslotus; 3; 0,4997; 1,4991; 3; 0,7122; 2,1366; 0,2125; 0,6375
i:11137; Visionenstaub; 47; 1,4851; 69,7988; 9; 2,9418; 26,4759; 1,4567; 13,1102
i:41813; Nesselfisch; 63; 0,1556; 9,8057; 3; 4,75; 14,25; 4,5944; 13,7831
i:66976; Schiftung der wilden Bestie; 1; 200,999; 200,999; 1; 190,9491; 190,9491; -10,0499; -10,0499
i:36450:-24; Riemenlangschild der Intelligenz; 1; 9; 9; 1; 190; 190; 181; 181
